pid,alpha,correct,words,rt,response,near_ceiling
0,0.0,0,310,0.310,-1,0
1,0.0,0,392,0.392,-1,0
2,0.0,1,451,0.451,1,0
3,0.0,0,486,0.486,-1,0
4,0.0,0,270,0.270,-1,0
5,0.0,0,510,0.510,-1,0
6,0.0,0,641,0.641,-1,0
7,0.0,1,229,0.229,1,0
8,0.0,0,2325,2.325,-1,0
9,0.0,0,562,0.562,-1,0
10,0.0,0,193,0.193,-1,0
11,0.0,1,2165,2.165,1,0
12,0.0,0,583,0.583,-1,0
13,0.0,0,537,0.537,-1,0
14,0.0,0,480,0.480,-1,0
15,0.0,0,525,0.525,-1,0
16,0.0,0,692,0.692,-1,0
17,0.0,1,237,0.237,1,0
18,0.0,0,326,0.326,-1,0
19,0.0,0,2775,2.775,-1,1
20,0.0,0,532,0.532,-1,0
21,0.0,0,777,0.777,-1,0
22,0.0,0,979,0.979,-1,0
23,0.0,0,1004,1.004,-1,0
24,0.0,1,231,0.231,1,0
25,0.0,0,228,0.228,-1,0
26,0.0,1,954,0.954,1,0
27,0.0,1,765,0.765,1,0
28,0.0,1,260,0.260,1,0
29,0.0,0,597,0.597,-1,0
30,0.0,0,184,0.184,-1,0
31,0.0,0,191,0.191,-1,0
32,0.0,1,130,0.130,1,0
33,0.0,0,614,0.614,-1,0
34,0.0,0,1300,1.300,-1,0
35,0.0,0,2539,2.539,-1,1
36,0.0,0,2574,2.574,-1,1
37,0.0,1,177,0.177,1,0
38,0.0,0,600,0.600,-1,0
39,0.0,1,172,0.172,1,0
40,0.0,1,198,0.198,1,0
41,0.0,0,294,0.294,-1,0
42,0.0,0,548,0.548,-1,0
43,0.0,0,307,0.307,-1,0
44,0.0,0,263,0.263,-1,0
45,0.0,0,2473,2.473,-1,1
46,0.0,0,1385,1.385,-1,0
47,0.0,0,459,0.459,-1,0
48,0.0,0,433,0.433,-1,0
49,0.0,0,448,0.448,-1,0
50,0.0,0,458,0.458,-1,0
51,0.0,0,595,0.595,-1,0
52,0.0,0,356,0.356,-1,0
53,0.0,1,140,0.140,1,0
54,0.0,0,838,0.838,-1,0
55,0.0,0,341,0.341,-1,0
56,0.0,0,323,0.323,-1,0
57,0.0,0,148,0.148,-1,0
58,0.0,0,2645,2.645,-1,1
59,0.0,0,2512,2.512,-1,1
60,0.0,0,304,0.304,-1,0
