,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
z,0.5356361229721325,0.011388536935400215,0.5170363396358715,0.5540162288002876,4067.276465794086,3275.584678872474,1.0017622156668449,0.0001784162477333739,0.00012428006504479935
t,0.022121257015169427,0.007367643476606825,0.01007578327371063,0.033884342935573075,2282.8697674851705,2053.7095929922866,1.001928235630617,0.00015281010106255331,0.00010578716865487199
a_C(alpha)[0.0],-0.30427516109846525,0.0354855978078679,-0.3618539128851948,-0.24852397546655017,4986.455707773111,3374.7449784728287,0.9995554300510828,0.0005024763146479205,0.00034975691693228905
a_C(alpha)[0.25],-0.16956740577003865,0.030601585829379465,-0.21891829699681836,-0.12024449781165628,4790.762546427489,2686.865959114108,1.0008650989920296,0.0004410314885594529,0.00031497554457718115
a_C(alpha)[0.5],-0.1848474276825996,0.03200414918814813,-0.23681254039941624,-0.13380965168810796,5208.719839019429,2721.597557515531,1.0015152521321993,0.0004424014311730226,0.0002995262847281189
a_C(alpha)[0.678],-0.11904091851869132,0.03271556494693612,-0.17060818276720222,-0.06699885323103752,5740.6351085455035,3365.5197680476927,1.0012081885639814,0.0004322858793621279,0.0003099341533308353
a_C(alpha)[1.0],-0.27114101996050494,0.03864889529917985,-0.33371188825237036,-0.20973588308970492,5122.270619635903,3097.2253135233645,0.9998060969525441,0.0005400666432372666,0.0003834030905016308
a_C(alpha)[1.693],1.624662986291385,0.06258672560228541,1.5239613551198796,1.723219554030451,3295.814385765996,3129.764894677151,0.9998428864951858,0.0010916008526865907,0.0007836675901004976
v_C(alpha)[0.0],-0.71647614053242,0.10815493344415297,-0.8866715908714677,-0.5447069997077473,5227.291008298755,2993.961754451625,1.001275810946529,0.001499510777920966,0.001072995701823671
v_C(alpha)[0.25],-0.5916646781072579,0.09130383209684857,-0.7400929215945449,-0.44734895109681017,6165.01246482365,3435.800568394524,1.0027810328109428,0.0011632003070922996,0.0008350853223834127
v_C(alpha)[0.5],-0.2923020734750523,0.09143374279234152,-0.4384685874586398,-0.14851425289427478,6767.110135146942,2816.0985326695154,0.9997063865911525,0.0011113881287782457,0.0007825232494698209
v_C(alpha)[0.678],-0.20116541322582251,0.092107503289536,-0.3481728148706844,-0.05339438775076358,5580.572095989509,3059.2274481205736,1.002306926362656,0.001235445871621801,0.000876876255291855
v_C(alpha)[1.0],0.21093071665211283,0.11501943530225041,0.03054300816479968,0.3940512510211491,6398.838925198126,3280.7454383729705,0.999335980312945,0.0014371788695527001,0.0010344762586885362
v_C(alpha)[1.693],-2.5309902507397135,0.161146557476202,-2.7882081209644225,-2.2798698329166536,3817.767580290207,3272.2255115239755,1.0006520009914641,0.002605350343081668,0.0018674867864524553
