,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
a_C(alpha)[0.0],-0.18979659607945773,0.02908147978849529,-0.2365042700503011,-0.1442984717837022,6641.104822602527,3587.1343792578273,1.0013376258462139,0.00035654056455908814,0.00024313539146285175
a_C(alpha)[0.25],-0.04290015930455964,0.026725344786751416,-0.0850739440689203,0.0006877491460937977,5265.555282264404,3224.3892368664224,0.9998503879411943,0.00036819970303256184,0.000256142606014144
a_C(alpha)[0.5],0.010282854133103893,0.02603152029759033,-0.03163406246481337,0.05178928958406328,7140.016518016514,2924.6178050675867,1.0003077250641648,0.00030947362107579577,0.00022007898306258854
a_C(alpha)[0.678],0.1290347587939328,0.02582098592292696,0.0882544856324101,0.1709396791179935,7222.995704750741,2920.4091267908634,1.0004314356222226,0.00030503601287140025,0.00021332359021185038
a_C(alpha)[1.0],0.1396227120772971,0.024569082136827937,0.10092712725027282,0.17990311292072667,7555.185621195549,3442.086971911725,1.0018311311094097,0.00028334170726431704,0.00019771236185917357
a_C(alpha)[1.693],1.659250066344604,0.05655802413149061,1.5698053110443984,1.7482249713293123,3161.677911037741,2841.4863822328666,1.0006366857126245,0.0010034289213913302,0.000718893261084874
v_C(alpha)[0.0],-0.7460096542514812,0.09440003659244994,-0.8933047923460131,-0.5944871563101417,6183.652191664572,3026.0845253536268,1.001487628116179,0.0012027175827857809,0.0008879740151091269
v_C(alpha)[0.25],-0.6368324793992653,0.0736023179265247,-0.7575354621683591,-0.5219647120498129,6833.029414349408,3400.988082397487,0.9999241608407621,0.0008893616875229145,0.0006212233301405959
v_C(alpha)[0.5],-0.42779797111886825,0.06909080340938213,-0.5383412505036831,-0.31808691049584864,5853.936776574736,3143.295615833518,1.0027872041140486,0.0009041126419817825,0.0006469081655493945
v_C(alpha)[0.678],-0.41479748326266636,0.06106112337620187,-0.5122233621993928,-0.31661423811656186,5940.2112915069865,3101.030969935951,1.0010065299119582,0.0007944353977101723,0.000575935338161318
v_C(alpha)[1.0],-0.314258791365247,0.0581001733502813,-0.4074067179309668,-0.22060225363766134,6628.2199281590165,3172.107030091231,1.0005857429571274,0.0007130225882233274,0.000505650631645915
v_C(alpha)[1.693],-2.6662149970657194,0.15228296687138876,-2.9146378514490845,-2.425427350323692,3337.7640174960015,3017.011599567469,1.000411592821156,0.0026345584098244725,0.0018595241099750455
z,0.5645883850884379,0.009642251894054762,0.549224028038058,0.5801543965031577,4232.735908128778,3069.9775506935443,0.9999802951864692,0.00014806150166997754,0.00010884871809120352
t,0.002054654119487914,0.0010199387879126828,0.0010675884684381014,0.0038577789282393995,4494.595147396821,2082.0289130208703,0.9995244098551164,1.3010853281073075e-05,1.8431935310912162e-05
