,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
v_hse_z,0.09981408260841312,0.02857358380318525,0.05508356356754189,0.14564386456175862,4780.216938419407,3451.5156512494127,0.9995915601377507,0.00041281650501916455,0.00029412162691767684
v_1|pid_sigma,0.1804079323136184,0.035061044360271,0.1252732826012094,0.23759290073372885,1001.4201549123685,1503.2080796141179,1.0042604497969054,0.00110987492311884,0.0008456657084004723
z,0.539438079111623,0.013451808238857646,0.5184803703426484,0.5612524290596219,5560.775925980674,3391.2810684400415,0.9996429083817486,0.00018046987621982553,0.00012680108442902544
t,0.3831689193687921,0.028425244176304324,0.3363445475785239,0.42634501862990903,4482.893765356095,3108.8795871972193,1.0004946224913667,0.00042011784352223716,0.00030159728368319664
a_hse_z,-0.3141458109230089,0.0191906527549304,-0.34575197071552793,-0.2841253157208644,5575.341319098121,2920.6072132383397,1.000488435374582,0.00025764707792968913,0.00017988081185734567
a_Intercept,0.7258946338849984,0.018246443891625552,0.6975548155018806,0.7552517534276744,4511.208908071074,3549.6273855957243,1.0013136367329292,0.0002717590166452541,0.0001953243465691288
v_1|pid_offset[gpqa/gpqa_diamond/105],-0.0353142431137791,0.7553921068801253,-1.2135623385252268,1.169565622330231,7035.697041077587,2935.065693468787,1.0016194113000703,0.009012925753021163,0.0066068138513184285
v_1|pid_offset[gpqa/gpqa_diamond/11],0.3277901642241236,0.6831483422291124,-0.7471392235400641,1.4212052700435347,7671.222747519615,2928.3272963500817,1.0002726119280207,0.00781349409808804,0.005623270131697457
v_1|pid_offset[gpqa/gpqa_diamond/110],-0.591327842132365,0.7307762065367445,-1.739777470249127,0.5985999095197563,9111.220110821874,2912.5187858600507,1.0007944267774724,0.007697086832772223,0.005317262418856678
v_1|pid_offset[gpqa/gpqa_diamond/116],0.29490973250342634,0.7294557452624255,-0.8661019915620164,1.4501795358136758,9029.52059331316,3048.428406351054,1.0022387526049692,0.007697398123303792,0.0057026360300876456
v_1|pid_offset[gpqa/gpqa_diamond/123],0.03489216570244341,0.7427021749329366,-1.1515159037094733,1.242218650576397,7617.437016117449,2714.4657027123358,1.0011392362059222,0.00852369723368767,0.005972805365835179
v_1|pid_offset[gpqa/gpqa_diamond/125],-0.5027361055784766,0.7343928868438635,-1.6668597743897542,0.7025291977338103,8312.072083168854,3215.743362328721,1.0001076614145736,0.00803377595398054,0.005866705543376832
