,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
sv,0.04006450062196036,0.031019820720250335,0.003106244605763753,0.09682746005308505,2227.532812175596,1327.0225839471777,1.002211922697208,0.0004977315484187306,0.00044078950012215666
z,0.560161666790892,0.009988708177365144,0.5444801129215381,0.576121301913641,2704.9700928280968,2849.5196172240435,1.0008276779372238,0.00019261418241472457,0.00013067744128666926
a_C(alpha)[0.0],-0.189368661679493,0.029738214666516792,-0.2371033375468922,-0.14242907028347002,4827.949974498082,3154.4603376153786,1.0004247916423112,0.0004292623228328341,0.00032121326419610975
a_C(alpha)[0.25],-0.04193958370855566,0.026666199239747158,-0.08369595747932355,-0.0006124565958109927,5065.253345980283,3395.343539594003,1.0006847342281373,0.0003753203331079406,0.0002774614423983572
a_C(alpha)[0.5],0.010107315253657977,0.02600462235502721,-0.031160613768506228,0.051078097435071766,4863.640962258938,3301.3259168722566,1.0005422337688248,0.00037351683187973665,0.0002678293021632638
a_C(alpha)[0.678],0.12722881964644356,0.025155649293687358,0.08762562319800442,0.16741693311738137,4308.642778512104,3316.798240594428,1.0001398494550624,0.0003833634644345892,0.0002624458230816739
a_C(alpha)[1.0],0.1381390624798821,0.024886056103385797,0.09828036324191262,0.17725329324070563,3741.1982026054097,3088.025309870308,1.0006157046223205,0.00040773950154714757,0.0002864141646090541
t,0.0019954702921715743,0.0010103384614344932,0.0010512090880013855,0.003909660231057058,3165.5437609310943,1727.1058505789417,0.9996031600719126,1.4569389896158124e-05,1.9331708507568812e-05
v_C(alpha)[0.0],-0.7362606334254852,0.08990863068652563,-0.8802677976671323,-0.5937992042802397,4251.617656802719,3135.3384216369413,1.0000079090504124,0.0013807879845937061,0.0009698716848344259
v_C(alpha)[0.25],-0.6302351155964009,0.07371755647855002,-0.7485918310669364,-0.5140994909997437,3967.9141577331675,3195.8639360069697,1.0022247553488022,0.0011681083247556514,0.0008505066667834643
v_C(alpha)[0.5],-0.4180007592620778,0.06984425537069147,-0.5290767774242842,-0.306499464120157,4663.649989958009,3116.7850450885962,1.001261864384903,0.0010231665928817045,0.000714887295345049
v_C(alpha)[0.678],-0.40937663299256605,0.06171555388871238,-0.5085681669513072,-0.31162285729645706,4260.116829034963,3150.581376818261,1.0008338421394132,0.0009453920920510783,0.0006620016688804125
v_C(alpha)[1.0],-0.30829726973173527,0.0612012505366597,-0.4059894954542978,-0.2103106028546006,3558.1067915098542,2889.814025980949,1.000420426095433,0.0010261345014847551,0.0007269625284348731
