pid,alpha,correct,words,rt,response,near_ceiling
math-788,0.0,0,1929,1.929,-1,0
math-861,0.0,1,1315,1.315,1,0
math-82,0.0,1,995,0.995,1,0
math-530,0.0,0,2496,2.496,-1,1
math-1047,0.0,1,917,0.917,1,0
math-995,0.0,1,1831,1.831,1,0
math-829,0.0,1,1086,1.086,1,0
math-621,0.0,0,2286,2.286,-1,0
math-976,0.0,1,1345,1.345,1,0
math-733,0.0,0,1574,1.574,-1,0
math-1194,0.0,0,2239,2.239,-1,0
math-447,0.0,1,2113,2.113,1,0
math-1033,0.0,1,788,0.788,1,0
math-285,0.0,1,1602,1.602,1,0
math-577,0.0,0,2562,2.562,-1,1
math-286,0.0,1,971,0.971,1,0
math-194,0.0,1,1884,1.884,1,0
math-1266,0.0,0,2204,2.204,-1,0
math-513,0.0,1,2368,2.368,1,0
math-1090,0.0,1,1471,1.471,1,0
math-1232,0.0,1,1811,1.811,1,0
math-300,0.0,1,1348,1.348,1,0
math-635,0.0,0,2357,2.357,-1,0
math-202,0.0,0,2534,2.534,-1,1
math-151,0.0,1,1264,1.264,1,0
math-676,0.0,0,1265,1.265,-1,0
math-966,0.0,0,2950,2.95,-1,1
math-1146,0.0,1,2221,2.221,1,0
math-206,0.0,1,2166,2.166,1,0
math-724,0.0,0,2238,2.238,-1,0
math-889,0.0,1,1319,1.319,1,0
math-647,0.0,0,2498,2.498,-1,1
math-1251,0.0,0,2331,2.331,-1,0
math-1311,0.0,0,2177,2.177,-1,0
math-418,0.0,0,2938,2.938,-1,1
math-1131,0.0,1,1907,1.907,1,0
math-906,0.0,1,1734,1.734,1,0
math-1067,0.0,1,1311,1.311,1,0
math-533,0.0,1,977,0.977,1,0
math-127,0.0,0,2359,2.359,-1,0
math-1123,0.0,1,1172,1.172,1,0
math-28,0.0,1,895,0.895,1,0
math-191,0.0,1,743,0.743,1,0
math-816,0.0,1,1400,1.4,1,0
math-1280,0.0,1,1252,1.252,1,0
math-2,0.0,1,1201,1.201,1,0
math-1253,0.0,0,2300,2.3,-1,0
math-1010,0.0,1,911,0.911,1,0
math-682,0.0,1,1613,1.613,1,0
math-499,0.0,1,2156,2.156,1,0
math-666,0.0,1,1887,1.887,1,0
math-128,0.0,1,2299,2.299,1,0
math-391,0.0,0,1887,1.887,-1,0
math-1162,0.0,1,532,0.532,1,0
math-454,0.0,1,2924,2.924,1,1
math-488,0.0,0,1983,1.983,-1,0
math-291,0.0,1,2394,2.394,1,0
math-1112,0.0,1,2296,2.296,1,0
math-917,0.0,1,1286,1.286,1,0
math-186,0.0,1,573,0.573,1,0
math-164,0.0,1,1557,1.557,1,0
math-655,0.0,0,2017,2.017,-1,0
math-1040,0.0,1,1726,1.726,1,0
math-1002,0.0,0,862,0.862,-1,0
math-223,0.0,0,1003,1.003,-1,0
math-617,0.0,0,1316,1.316,-1,0
math-1128,0.0,1,1934,1.934,1,0
math-596,0.0,1,691,0.691,1,0
math-255,0.0,1,2272,2.272,1,0
math-1121,0.0,1,1170,1.17,1,0
math-681,0.0,0,2080,2.08,-1,0
math-1106,0.0,1,1031,1.031,1,0
math-416,0.0,0,3055,3.055,-1,1
math-1235,0.0,0,2630,2.63,-1,1
math-1120,0.0,1,1735,1.735,1,0
